title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Phil (BAM)","","","","1991","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","53","coll0053","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/53","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/53/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0053.html"
"Briar Hopper","","","","1991","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","54","coll0054","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/54","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/54/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0054.html"
"Cat Face Woman","","","","1987","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","55","coll0055","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/55","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/55/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0055.html"
"Neighbourhood Ridge","","","","1984","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","56","coll0056","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/56","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/56/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0056.html"
"A Lot More of Ann Combing her Hair","","","","1979","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","57","coll0057","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/57","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/57/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0057.html"
"The Only Way Out Is In","","","","1984","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","58","coll0058","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/58","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/58/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0058.html"
"100 Breaths, #75 and 100 Breaths, #106","","","","1989","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","59","coll0059","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/59","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/59/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0059.html"
"Untitled (MELBK 84)","","","","1984","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","60","coll0060","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/60","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/60/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0060.html"
"Vino","","","","1991","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","61","coll0061","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/61","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/61/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0061.html"

